Date,AXISBANK.NS,BAJAJFINSV.NS,BAJFINANCE.NS,CL=F,DLF.NS,DRREDDY.NS,GC=F,GODREJPROP.NS,HCLTECH.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,INR=X,ITC.NS,M&M.NS,MARUTI.NS,ONGC.NS,RELIANCE.NS,SBIN.NS,SUNPHARMA.NS,TCS.NS,TMPV.NS,WIPRO.NS,^NSEBANK,^NSEI
2021-01-04,621.6231079101562,887.1205444335938,507.8380126953125,47.619998931884766,232.9305877685547,1015.383056640625,1944.699951171875,1400.4306640625,775.3732299804688,659.6895141601562,2208.9541015625,509.9544982910156,1110.0518798828125,73.09200286865234,159.3805389404297,707.212158203125,7308.7724609375,69.76237487792969,898.5591430664062,254.7378387451172,568.7921142578125,2616.81201171875,186.3705596923828,180.64295959472656,31212.0859375,14132.900390625
2021-01-05,661.1773071289062,879.3546752929688,498.3748474121094,49.93000030517578,230.49925231933597,1018.2044067382812,1952.699951171875,1399.8336181640625,784.0333251953125,664.67431640625,2230.84814453125,515.2774047851562,1114.8341064453125,73.31999969482422,157.92413330078125,698.71533203125,7264.31591796875,68.32322692871094,887.3883056640625,255.37228393554688,567.8981323242188,2662.915283203125,188.2216033935547,185.15451049804688,31721.880859375,14199.5
2021-01-06,651.0275268554688,875.915283203125,489.7392272949219,50.630001068115234,229.83184814453125,1018.4743041992188,1906.9000244140625,1453.5738525390625,773.6332397460938,661.8091430664062,2200.57861328125,524.3410034179688,1104.752685546875,73.37480163574219,153.40562438964844,694.9390258789062,7238.83740234375,69.76237487792969,863.986083984375,258.3633728027344,569.63916015625,2627.186279296875,190.36489868164065,185.2000732421875,31797.53125,14146.25
2021-01-07,667.7944946289062,896.0177612304688,494.6753234863281,50.83000183105469,233.97938537597656,1015.1231079101562,1912.300048828125,1445.8114013671875,761.2559814453125,659.8058471679688,2156.472412109375,518.969970703125,1087.56201171875,73.36000061035156,151.46377563476562,702.7749633789062,7179.48291015625,70.44595336914062,862.5869750976562,260.7652893066406,566.4393920898438,2611.086181640625,191.6801300048828,185.35955810546875,31955.62890625,14137.349609375
2021-01-08,669.38671875,914.321044921875,494.7726440429688,52.2400016784668,236.7444305419922,1028.09423828125,1834.0999755859373,1456.111572265625,786.6431274414062,666.9805297851562,2176.81884765625,519.8811645507812,1130.6025390625,73.44599914550781,150.4928741455078,727.41552734375,7605.400390625,72.42478942871094,872.7647094726562,259.22442626953125,584.2259521484375,2686.935546875,193.04405212402344,196.0459442138672,32083.826171875,14347.25
2021-01-11,663.6649780273438,895.8284301757812,485.2558898925781,52.25,235.457275390625,1043.221923828125,1849.5999755859373,1465.764892578125,834.4515380859375,676.2049560546875,2211.321044921875,522.4227905273438,1185.8359375,73.37339782714844,151.2397003173828,744.9754638671875,7812.1201171875,73.79196166992188,856.3131713867188,256.0520935058594,584.4141235351562,2734.761474609375,214.96424865722656,203.6107177734375,31998.529296875,14484.75
2021-01-12,672.3718872070312,893.1268310546875,490.8977661132813,53.209999084472656,255.0985870361328,1031.098388671875,1842.9000244140625,1466.909423828125,839.9876708984375,689.9717407226562,2162.890625,525.5878295898438,1182.0015869140625,73.51349639892578,154.1898193359375,736.2427368164062,7769.7041015625,74.4395751953125,883.3035888671875,265.1158752441406,573.7327880859375,2733.384521484375,231.6723480224609,208.5779266357422,32338.625,14563.4501953125
2021-01-13,684.4122924804688,876.6430053710938,477.3358459472656,52.90999984741211,267.39825439453125,1018.8015747070312,1853.5999755859373,1421.777587890625,835.1236572265625,685.1499633789062,2159.6591796875,533.740234375,1195.2713623046875,73.16500091552734,157.7747802734375,782.0307006835938,7723.966796875,75.73480987548828,875.0665893554688,278.0770874023437,566.8157958984375,2719.69482421875,236.34864807128903,209.1703643798828,32574.271484375,14564.849609375
2021-01-14,672.67041015625,872.0274047851562,474.8483276367188,53.56999969482422,268.4947204589844,1022.4415283203124,1850.300048828125,1421.080810546875,812.7814331054688,684.2647705078125,2183.510009765625,530.6710815429688,1180.9244384765625,73.1698989868164,159.94065856933594,783.4940795898438,7733.07666015625,75.59089660644531,884.906005859375,278.48492431640625,571.2860107421875,2804.012451171875,238.78424072265625,207.0513153076172,32519.37109375,14595.599609375
2021-01-15,671.5260009765625,860.936767578125,475.456787109375,52.36000061035156,266.4447631835937,1003.93359375,1829.300048828125,1375.6505126953125,782.8075561523438,683.2864379882812,2140.359375,520.7923583984375,1158.9085693359375,73.08760070800781,162.70404052734375,773.817138671875,7614.7470703125,72.96446228027344,874.4573364257812,275.4033203125,568.697998046875,2789.046875,253.592529296875,199.8511199951172,32246.42578125,14433.7001953125
2021-01-18,653.7639770507812,832.8739624023438,459.5144653320313,52.36000061035156,264.2518005371094,972.984375,1829.300048828125,1347.23779296875,776.2429809570312,690.9501953125,2123.47265625,511.3451232910156,1130.559814453125,73.15899658203125,164.1230926513672,763.7626953125,7430.564453125,69.5465087890625,895.4447631835938,266.8833312988281,547.1943359375,2779.041015625,239.61231994628903,196.66114807128903,31811.380859375,14281.2998046875
2021-01-19,665.4561767578125,889.652587890625,482.8122253417969,52.97999954223633,275.5503234863281,980.07177734375,1839.5,1399.8834228515625,778.1015014648438,700.6171875,2151.28369140625,524.1012573242188,1134.5234375,73.1886978149414,163.450927734375,762.8657836914062,7517.81689453125,70.58987426757812,910.0908813476562,270.644775390625,561.4046020507812,2812.639404296875,251.9850616455078,196.06874084472656,32424.47265625,14521.150390625
2021-01-20,672.4216918945312,891.0582885742188,485.0320129394531,53.2400016784668,276.932861328125,978.48291015625,1865.9000244140625,1412.2237548828125,790.2811889648438,695.0964965820312,2144.72900390625,528.4652099609375,1154.16943359375,73.19190216064453,162.55470275878906,778.3958740234375,7728.80615234375,71.12955474853516,927.3773803710938,274.2249755859375,559.6636962890625,2854.128662109375,267.8163146972656,202.76763916015625,32543.3203125,14644.7001953125
2021-01-21,672.5210571289062,902.4778442382812,498.3066711425781,53.130001068115234,269.5434875488281,973.0036010742188,1865.300048828125,1368.73388671875,788.7327270507812,687.0834350585938,2155.3798828125,530.0955810546875,1154.385009765625,72.91089630126953,159.60459899902344,763.0546264648438,7664.0908203125,68.1433334350586,947.5524291992188,267.2458801269531,548.5587768554688,2823.982177734375,283.1117858886719,203.15499877929688,32186.525390625,14590.349609375
2021-01-22,641.3255004882812,904.2921142578124,484.1168823242188,52.27000045776367,256.8624572753906,970.05712890625,1855.699951171875,1343.8541259765625,782.7774658203125,672.5245361328125,2193.341796875,511.9685363769531,1155.3759765625,72.95490264892578,157.364013671875,753.7554321289062,7637.61572265625,66.74016571044922,925.0755615234376,257.1397705078125,541.3125610351562,2849.21240234375,281.8939819335937,203.1321563720703,31166.888671875,14371.900390625
2021-01-25,655.1571044921875,917.0426025390624,477.9005126953125,52.77000045776367,257.3868713378906,978.81982421875,1854.9000244140625,1320.8155517578125,752.364990234375,681.5159912109375,2184.465576171875,516.0447998046875,1141.8043212890625,72.99590301513672,155.19810485839844,750.1206665039062,7573.70751953125,65.73278045654297,876.0595092773438,254.647216796875,551.8527221679688,2839.034423828125,271.95684814453125,199.70664978027344,31198.037109375,14238.900390625
2021-01-27,628.9866333007812,909.78515625,471.6988220214844,52.84999847412109,246.7081298828125,945.4825439453124,1844.9000244140625,1290.91015625,758.7174682617188,656.7078247070312,2176.909912109375,500.9867858886719,1121.038330078125,72.91999816894531,157.32664489746094,726.8963012695312,7468.75830078125,64.54548645019531,855.2976684570312,249.84336853027344,536.2305908203125,2812.941162109375,260.6070251464844,203.9086151123047,30284.19921875,13967.5
2021-01-28,667.3965454101562,892.7581176757812,468.3156433105469,52.34000015258789,248.85337829589844,938.2603149414062,1837.9000244140625,1236.8216552734375,741.605712890625,638.9344482421875,2094.159423828125,506.64556884765625,1099.668701171875,73.03710174560547,154.30184936523438,722.2230834960938,7200.78662109375,65.22909545898438,846.970458984375,255.9161376953125,531.1016845703125,2757.303955078125,259.925048828125,197.2631378173828,30357.947265625,13817.5498046875
2021-01-29,659.6349487304688,869.574951171875,460.9456176757813,52.20000076293945,243.56167602539065,886.4344482421875,1847.300048828125,1251.1522216796875,725.7643432617188,647.8094482421875,2060.931884765625,515.0376586914062,1067.6573486328125,72.93879699707031,151.79986572265625,707.6842041015625,6838.4462890625,63.5380859375,831.3538818359375,255.6895294189453,551.6644287109375,2683.810791015625,255.9307098388672,190.8688507080078,30565.14453125,13634.599609375
2021-02-01,705.8561401367188,969.170654296875,492.4944763183594,53.54999923706055,268.5423583984375,852.81787109375,1860.800048828125,1315.4913330078125,737.1589965820312,687.9918212890625,2047.003173828125,579.1056518554688,1086.485107421875,72.90660095214844,161.28501892089844,750.6871337890625,7021.7265625,65.37299346923828,855.4331665039062,281.61199951171875,555.3816528320312,2707.964111328125,272.3952331542969,192.51312255859372,33088.66796875,14281.2001953125
2021-02-02,710.6822509765625,944.69677734375,503.6516723632813,54.7599983215332,280.7943420410156,863.2850952148438,1830.5,1392.767822265625,758.042724609375,727.0327758789062,2030.48095703125,592.1015625,1095.4033203125,73.11979675292969,162.96548461914062,771.1737060546875,7263.60400390625,66.81214141845703,869.1991577148438,301.9148864746094,573.5447387695312,2763.255615234375,313.7026672363281,195.64175415039065,34267.5,14647.849609375
2021-02-03,730.1856689453125,950.6531982421876,510.6517028808594,55.68999862670898,276.45611572265625,895.457275390625,1832.199951171875,1382.21875,762.2114868164062,733.6715087890625,2032.6651611328125,596.8970947265625,1106.94970703125,72.91629791259766,161.8825225830078,786.6094360351562,7201.451171875,67.17191314697266,871.38818359375,304.498046875,592.1310424804688,2760.32275390625,322.47076416015625,197.993896484375,34758.046875,14789.9501953125
2021-02-04,740.2359619140625,967.0523071289062,535.9403686523438,56.22999954223633,290.5672912597656,899.0010375976562,1788.9000244140625,1333.90234375,760.4248046875,735.6747436523438,2044.27294921875,602.6036376953125,1102.3828125,72.85800170898438,171.74110412597656,818.0474243164062,7249.6552734375,70.26605987548828,868.5221557617188,321.8551940917969,594.2955932617188,2750.31640625,317.7456970214844,196.34967041015625,35344.390625,14895.650390625
2021-02-05,716.0556640625,969.2105102539062,539.2213134765625,56.84999847412109,291.0917358398437,924.6057739257812,1810.9000244140625,1390.4290771484375,751.293212890625,744.2936401367188,2066.0751953125,589.0324096679688,1096.1356201171875,72.9457015991211,175.02731323242188,817.1033935546875,7111.2568359375,70.26605987548828,868.2738647460938,356.297607421875,597.3541259765625,2724.00830078125,307.75982666015625,194.36289978027344,35654.0859375,14924.25
2021-02-08,732.524169921875,999.0030517578124,535.2443237304688,57.970001220703125,298.4810485839844,935.9493408203124,1831.9000244140625,1417.348876953125,760.504150390625,747.8577270507812,2036.124755859375,603.8505249023438,1123.2353515625,72.78479766845703,174.0937042236328,876.486083984375,7187.59716796875,71.70521545410156,880.776123046875,359.8778076171875,597.260009765625,2772.4423828125,327.2931823730469,198.81602478027344,35983.23046875,15115.7998046875
2021-02-09,738.8429565429688,991.087646484375,525.7616577148438,58.36000061035156,292.7126159667969,932.9256591796876,1835.300048828125,1417.7469482421875,755.6207275390625,750.9326171875,2017.55419921875,607.4471435546875,1124.9588623046875,72.92990112304688,171.03158569335938,844.9537963867188,7237.3671875,72.67664337158203,882.8973999023438,357.8384704589844,591.9912719726562,2740.354248046875,316.674072265625,200.66580200195312,36056.08203125,15109.2998046875
2021-02-10,731.1808471679688,1019.6290283203124,533.1219482421875,58.68000030517578,296.9078063964844,929.064208984375,1840.5999755859373,1457.703857421875,761.8541259765625,736.9094848632812,2035.077880859375,606.2962646484375,1117.16064453125,72.85489654541016,169.94862365722656,863.032958984375,7232.29052734375,71.95706176757812,891.0892333984375,355.52716064453125,595.3139038085938,2771.753173828125,320.42486572265625,200.5059509277344,35782.6875,15106.5
2021-02-11,736.4547119140625,1018.5025634765624,541.99609375,58.2400016784668,295.2392578125,929.2568969726562,1824.9000244140625,1474.4727783203125,770.5488891601562,732.5301513671875,2060.112548828125,604.8576049804688,1113.8431396484375,72.80729675292969,169.1270751953125,863.080078125,7275.6083984375,71.56130981445312,927.8287353515624,353.6238098144531,611.0250244140625,2765.455322265625,316.6253662109375,199.5924835205078,35751.6875,15173.2998046875
