hop,source,target,raw_edge_effect,transmission_effect,incoming_shock,propagated_shock
1,^NSEI,^NSEBANK,0.8710093754026812,0.0790012059387483,-0.12,-0.005214079591957388
1,^NSEI,HDFCBANK.NS,0.7102698125738366,0.06442200660501535,-0.12,-0.004251852435931013
1,^NSEI,ICICIBANK.NS,0.6853422189371944,0.062161055099716846,-0.12,-0.004102629636581312
1,^NSEI,RELIANCE.NS,0.6757367216336178,0.06128982926443451,-0.12,-0.004045128731452678
1,^NSEI,DLF.NS,0.6646746683758347,0.060286492707787805,-0.12,-0.003978908518713995
1,^NSEI,SBIN.NS,0.6511635479532141,0.059061023915930995,-0.12,-0.0038980275784514457
1,^NSEI,BAJAJFINSV.NS,0.6364417700966231,0.05772574758357767,-0.12,-0.003809899340516127
1,^NSEI,BAJFINANCE.NS,0.6273961007555183,0.05690529856586181,-0.12,-0.0037557497053468795
1,^NSEI,AXISBANK.NS,0.6234557890912761,0.05654790933212855,-0.12,-0.0037321620159204844
1,^NSEI,M&M.NS,0.5875194839192771,0.05328845940455655,-0.12,-0.0035170383207007326
1,^NSEI,GODREJPROP.NS,0.5790139165822273,0.05251699804513145,-0.12,-0.003466121870978676
1,^NSEI,TMPV.NS,0.572079068750883,0.05188800212712009,-0.12,-0.003424608140389926
1,^NSEI,WIPRO.NS,0.5277434950499413,0.04786673222202709,-0.12,-0.0031592043266537883
1,^NSEI,INFY.NS,0.5172992203315149,0.04691942864388844,-0.12,-0.003096682290496637
1,^NSEI,MARUTI.NS,0.512368391886644,0.04647219879261182,-0.12,-0.0030671651203123805
1,^NSEI,TCS.NS,0.4954410470058159,0.04493687587107809,-0.12,-0.002965833807491154
1,^NSEI,HCLTECH.NS,0.4869955571379644,0.04417086358332827,-0.12,-0.0029152769964996663
1,^NSEI,ITC.NS,0.4516433517217829,0.040964391943248045,-0.12,-0.002703649868254371
1,^NSEI,INR=X,-0.14967329325237838,-0.013575480353808157,-0.12,0.0008959817033513384
1,^NSEBANK,^NSEI,0.8710093754026812,0.11443903584673829,-0.15,-0.009441220457355909
1,^NSEBANK,ICICIBANK.NS,0.8107654320760751,0.10652378374429676,-0.15,-0.008788212158904483
1,^NSEBANK,HDFCBANK.NS,0.7897290090838442,0.10375987782906815,-0.15,-0.008560189920898123
1,^NSEBANK,SBIN.NS,0.1159061658064732,0.015228527083824713,-0.15,-0.001256353484415539
1,^NSEBANK,AXISBANK.NS,0.7499013589094095,0.09852705483689732,-0.15,-0.00812848202404403
1,^NSEBANK,DLF.NS,0.6121201119926072,0.08042443332650238,-0.15,-0.006635015749436447
1,^NSEBANK,BAJFINANCE.NS,0.5806579870600905,0.07629072897768036,-0.15,-0.00629398514065863
1,^NSEBANK,BAJAJFINSV.NS,0.5745560766334992,0.07548901918469512,-0.15,-0.006227844082737348
1,^NSEBANK,GODREJPROP.NS,0.4991604001302331,0.06558303106366326,-0.15,-0.005410600062752219
1,^NSEBANK,RELIANCE.NS,0.4919394606729866,0.06463429575411171,-0.15,-0.005332329399714217
1,^NSEBANK,M&M.NS,0.4914602709114511,0.06457133659908264,-0.15,-0.005327135269424318
1,^NSEBANK,TMPV.NS,0.46662919020636956,0.06130886318011589,-0.15,-0.005057981212359561
1,^NSEBANK,MARUTI.NS,0.42767618872949487,0.0561909573822716,-0.15,-0.004635753984037407
1,^NSEBANK,INR=X,-0.1296102035106274,-0.017029055191051707,-0.15,0.0014048970532617659
2,HDFCBANK.NS,^NSEBANK,0.7897290090838442,0.1993856365265358,-0.012812042356829135,-0.0014049954712867232
2,HDFCBANK.NS,^NSEI,0.7102698125738366,0.17932429612773965,-0.012812042356829135,-0.0012636307626784442
2,HDFCBANK.NS,ICICIBANK.NS,0.5388214372727272,0.13603812701447768,-0.012812042356829135,-0.0009586094349992544
2,HDFCBANK.NS,AXISBANK.NS,0.46021215446993713,0.11619136729279606,-0.012812042356829135,-0.000818756795589257
2,HDFCBANK.NS,BAJFINANCE.NS,0.43779330870808497,0.11053120313395035,-0.012812042356829135,-0.0007788717509669015
2,HDFCBANK.NS,DLF.NS,0.41176263820050274,0.10395914898794925,-0.012812042356829135,-0.0007325609611174342
2,HDFCBANK.NS,BAJAJFINSV.NS,0.4064743926071697,0.10262400718410625,-0.012812042356829135,-0.0007231527197786688
2,ICICIBANK.NS,^NSEBANK,0.8107654320760751,0.1971713155149741,-0.012890841795485795,-0.00139793732920124
2,ICICIBANK.NS,^NSEI,0.6853422189371944,0.16666944783250037,-0.012890841795485795,-0.0011816802162823545
2,ICICIBANK.NS,AXISBANK.NS,0.613454040601047,0.1491868491279428,-0.012890841795485795,-0.0010577292385414254
2,ICICIBANK.NS,HDFCBANK.NS,0.5388214372727272,0.1310368294103147,-0.012890841795485795,-0.0009290462705207348
2,ICICIBANK.NS,DLF.NS,0.46117166256674597,0.11215305905886351,-0.012890841795485795,-0.0007951610376641715
