scenario,systemic_risk_score,risk_level,affected_entities,mean_secondary_impact_pct,propagation_score,breadth_score
Market Crash,50.32555956695661,HIGH,12,0.699841463174851,13.996829263497018,50.0
Banking Crisis,46.102673050375685,HIGH,9,1.44102836054124,28.820567210824798,42.857142857142854
Rate Hike Proxy,46.056750685206396,HIGH,10,1.2319241770867406,24.638483541734814,47.61904761904761
Tech Crash,28.64737310942161,MODERATE,1,0.7363009034547072,14.726018069094144,4.545454545454546
Oil Crash,20.533379736759436,LOW,2,0.16593296334109214,3.3186592668218426,8.0
Currency Shock,19.56546660937974,LOW,0,0.0,0.0,0.0
