source,target,best_lag,lag_correlation,lag_strength,source_name,target_name,source_sector,target_sector
BAJAJFINSV.NS,RELIANCE.NS,4,0.047582914027271314,0.047582914027271314,Bajaj Finserv,Reliance,NBFC,Energy
BAJAJFINSV.NS,SBIN.NS,4,0.08325458506217767,0.08325458506217767,Bajaj Finserv,SBI,NBFC,Banking
BAJAJFINSV.NS,SUNPHARMA.NS,2,-0.07285133057936526,0.07285133057936526,Bajaj Finserv,Sun Pharma,NBFC,Pharma
BAJAJFINSV.NS,TCS.NS,1,0.026116761775515033,0.026116761775515033,Bajaj Finserv,TCS,NBFC,IT
BAJAJFINSV.NS,TMPV.NS,1,0.04500640762823362,0.04500640762823362,Bajaj Finserv,Tata Motors Passenger Vehicles,NBFC,Auto
BAJAJFINSV.NS,WIPRO.NS,3,-0.032908509281056854,0.032908509281056854,Bajaj Finserv,Wipro,NBFC,IT
BAJAJFINSV.NS,^NSEBANK,4,0.058045153144785935,0.058045153144785935,Bajaj Finserv,Bank Nifty,NBFC,Banking
BAJAJFINSV.NS,^NSEI,3,-0.03521017224505734,0.03521017224505734,Bajaj Finserv,NIFTY 50,NBFC,Market
BAJFINANCE.NS,AXISBANK.NS,4,0.04483948206941015,0.04483948206941015,Bajaj Finance,Axis Bank,NBFC,Banking
BAJFINANCE.NS,BAJAJFINSV.NS,4,0.060331625794342106,0.060331625794342106,Bajaj Finance,Bajaj Finserv,NBFC,NBFC
BAJFINANCE.NS,CL=F,3,-0.03140767356489694,0.03140767356489694,Bajaj Finance,Crude Oil,NBFC,Energy
BAJFINANCE.NS,DLF.NS,5,0.026538854609474586,0.026538854609474586,Bajaj Finance,DLF,NBFC,Realty
BAJFINANCE.NS,DRREDDY.NS,5,-0.028192025494328404,0.028192025494328404,Bajaj Finance,Dr Reddy's,NBFC,Pharma
BAJFINANCE.NS,GC=F,3,0.033711430030761956,0.033711430030761956,Bajaj Finance,Gold,NBFC,Safe Haven
BAJFINANCE.NS,GODREJPROP.NS,1,0.039397721069331273,0.039397721069331273,Bajaj Finance,Godrej Properties,NBFC,Realty
