hop,source,target,raw_edge_effect,transmission_effect,incoming_shock,propagated_shock
1,^NSEBANK,^NSEI,0.8710093754026812,0.11443903584673829,-0.15,-0.009441220457355909
1,^NSEBANK,ICICIBANK.NS,0.8107654320760751,0.10652378374429676,-0.15,-0.008788212158904483
1,^NSEBANK,HDFCBANK.NS,0.7897290090838442,0.10375987782906815,-0.15,-0.008560189920898123
1,^NSEBANK,SBIN.NS,0.1159061658064732,0.015228527083824713,-0.15,-0.001256353484415539
1,^NSEBANK,AXISBANK.NS,0.7499013589094095,0.09852705483689732,-0.15,-0.00812848202404403
1,^NSEBANK,DLF.NS,0.6121201119926072,0.08042443332650238,-0.15,-0.006635015749436447
1,^NSEBANK,BAJFINANCE.NS,0.5806579870600905,0.07629072897768036,-0.15,-0.00629398514065863
1,^NSEBANK,BAJAJFINSV.NS,0.5745560766334992,0.07548901918469512,-0.15,-0.006227844082737348
1,^NSEBANK,GODREJPROP.NS,0.4991604001302331,0.06558303106366326,-0.15,-0.005410600062752219
1,^NSEBANK,RELIANCE.NS,0.4919394606729866,0.06463429575411171,-0.15,-0.005332329399714217
1,^NSEBANK,M&M.NS,0.4914602709114511,0.06457133659908264,-0.15,-0.005327135269424318
1,^NSEBANK,TMPV.NS,0.46662919020636956,0.06130886318011589,-0.15,-0.005057981212359561
1,^NSEBANK,MARUTI.NS,0.42767618872949487,0.0561909573822716,-0.15,-0.004635753984037407
1,^NSEBANK,INR=X,-0.1296102035106274,-0.017029055191051707,-0.15,0.0014048970532617659
1,HDFCBANK.NS,^NSEBANK,0.7897290090838442,0.1993856365265358,-0.1,-0.010966210008959469
1,HDFCBANK.NS,^NSEI,0.7102698125738366,0.17932429612773965,-0.1,-0.009862836287025683
1,HDFCBANK.NS,ICICIBANK.NS,0.5388214372727272,0.13603812701447768,-0.1,-0.0074820969857962724
1,HDFCBANK.NS,AXISBANK.NS,0.46021215446993713,0.11619136729279606,-0.1,-0.006390525201103784
1,HDFCBANK.NS,BAJFINANCE.NS,0.43779330870808497,0.11053120313395035,-0.1,-0.00607921617236727
1,HDFCBANK.NS,SBIN.NS,0.10190651474902625,0.025728693103229037,-0.1,-0.0014150781206775972
1,HDFCBANK.NS,DLF.NS,0.41176263820050274,0.10395914898794925,-0.1,-0.00571775319433721
1,HDFCBANK.NS,BAJAJFINSV.NS,0.4064743926071697,0.10262400718410625,-0.1,-0.005644320395125845
1,HDFCBANK.NS,INR=X,-0.10384266864875427,-0.02621752062921602,-0.1,0.0014419636346068812
1,ICICIBANK.NS,^NSEBANK,0.8107654320760751,0.1971713155149741,-0.1,-0.010844422353323578
