hop,source,target,raw_edge_effect,transmission_effect,incoming_shock,propagated_shock
1,TCS.NS,INFY.NS,0.7201836318271244,0.2890496406169462,-0.15,-0.023846595350898066
1,TCS.NS,HCLTECH.NS,0.6667515936638665,0.26760439978394157,-0.15,-0.022077362982175178
1,TCS.NS,WIPRO.NS,0.6091806458580048,0.24449798492271652,-0.15,-0.02017108375612411
1,TCS.NS,^NSEI,0.4954410470058159,0.19884797467639562,-0.15,-0.01640495791080264
1,INFY.NS,TCS.NS,0.7201836318271244,0.28168621389031334,-0.15,-0.023239112645950855
1,INFY.NS,HCLTECH.NS,0.692097957905166,0.27070103344187263,-0.15,-0.022332835258954492
1,INFY.NS,WIPRO.NS,0.6271067249092726,0.24528094119091326,-0.15,-0.020235677648250346
1,INFY.NS,^NSEI,0.5172992203315149,0.20233181147690074,-0.15,-0.01669237444684431
1,HCLTECH.NS,INFY.NS,0.692097957905166,0.28376545575221934,-0.15,-0.023410650099558096
1,HCLTECH.NS,TCS.NS,0.6667515936638665,0.2733732525699356,-0.15,-0.02255329333701969
1,HCLTECH.NS,WIPRO.NS,0.5931337869817648,0.24318938881767785,-0.15,-0.020063124577458423
1,HCLTECH.NS,^NSEI,0.4869955571379644,0.19967190286016726,-0.15,-0.0164729319859638
1,WIPRO.NS,INFY.NS,0.6271067249092726,0.2660428172315511,-0.15,-0.021948532421602968
1,WIPRO.NS,TCS.NS,0.6091806458580048,0.258437884317772,-0.15,-0.02132112545621619
1,WIPRO.NS,HCLTECH.NS,0.5931337869817648,0.25163018895496164,-0.15,-0.020759490588784336
1,WIPRO.NS,^NSEI,0.5277434950499413,0.2238891094957153,-0.15,-0.018470851533396514
2,INFY.NS,TCS.NS,0.7201836318271244,0.28168621389031334,-0.06920577787205913,-0.0107218724514629
2,INFY.NS,HCLTECH.NS,0.692097957905166,0.27070103344187263,-0.06920577787205913,-0.0103037415745633
2,INFY.NS,WIPRO.NS,0.6271067249092726,0.24528094119091326,-0.06920577787205913,-0.009336172082769368
2,INFY.NS,^NSEI,0.5172992203315149,0.20233181147690074,-0.06920577787205913,-0.007701391720836956
2,HCLTECH.NS,INFY.NS,0.692097957905166,0.28376545575221934,-0.065169688829914,-0.010171098548627976
2,HCLTECH.NS,TCS.NS,0.6667515936638665,0.2733732525699356,-0.065169688829914,-0.009798607392422306
2,HCLTECH.NS,WIPRO.NS,0.5931337869817648,0.24318938881767785,-0.065169688829914,-0.00871671723779177
2,HCLTECH.NS,^NSEI,0.4869955571379644,0.19967190286016726,-0.065169688829914,-0.007156905677610654
2,WIPRO.NS,INFY.NS,0.6271067249092726,0.2660428172315511,-0.06046988598183288,-0.008848168353352625
