hop,source,target,raw_edge_effect,transmission_effect,incoming_shock,propagated_shock
1,CL=F,ONGC.NS,0.24724715493481883,0.24724715493481883,-0.2,-0.027197187042830077
1,CL=F,HINDUNILVR.NS,-0.129873216294936,-0.129873216294936,-0.2,0.014286053792442962
