source,target,ml_importance,source_name,target_name
DLF.NS,DRREDDY.NS,0.031373087984563244,DLF,Dr Reddy's
MARUTI.NS,AXISBANK.NS,0.03128641206729069,Maruti Suzuki,Axis Bank
WIPRO.NS,SBIN.NS,0.03123643529921053,Wipro,SBI
DLF.NS,ICICIBANK.NS,0.03116233193595249,DLF,ICICI Bank
SBIN.NS,TCS.NS,0.031140413442863748,SBI,TCS
TCS.NS,HCLTECH.NS,0.031108141085049147,TCS,HCL Tech
SBIN.NS,DLF.NS,0.031103662876061016,SBI,DLF
BAJAJFINSV.NS,GODREJPROP.NS,0.030980859317074297,Bajaj Finserv,Godrej Properties
TMPV.NS,DLF.NS,0.030941797771334534,Tata Motors Passenger Vehicles,DLF
ITC.NS,INFY.NS,0.03093092141118892,ITC,Infosys
TCS.NS,BAJAJFINSV.NS,0.03080770145433283,TCS,Bajaj Finserv
HINDUNILVR.NS,BAJFINANCE.NS,0.03079269924529997,Hindustan Unilever,Bajaj Finance
GODREJPROP.NS,HCLTECH.NS,0.03076285714270408,Godrej Properties,HCL Tech
ICICIBANK.NS,INFY.NS,0.030756007087043437,ICICI Bank,Infosys
^NSEI,ICICIBANK.NS,0.03067088341792404,NIFTY 50,ICICI Bank
HCLTECH.NS,SUNPHARMA.NS,0.030633547321463048,HCL Tech,Sun Pharma
GODREJPROP.NS,CL=F,0.03056285746472776,Godrej Properties,Crude Oil
INR=X,GC=F,0.030538186385839206,USD/INR,Gold
BAJAJFINSV.NS,HDFCBANK.NS,0.030401328472452874,Bajaj Finserv,HDFC Bank
^NSEBANK,MARUTI.NS,0.03033340016623247,Bank Nifty,Maruti Suzuki
GODREJPROP.NS,SUNPHARMA.NS,0.030311750084187686,Godrej Properties,Sun Pharma
CL=F,^NSEI,0.03029307716640233,Crude Oil,NIFTY 50
CL=F,TCS.NS,0.03026002207428944,Crude Oil,TCS
TCS.NS,DRREDDY.NS,0.03025827685417818,TCS,Dr Reddy's
TMPV.NS,DRREDDY.NS,0.03022046644933329,Tata Motors Passenger Vehicles,Dr Reddy's
WIPRO.NS,ICICIBANK.NS,0.0301244941166388,Wipro,ICICI Bank
INFY.NS,INR=X,0.030110035539841217,Infosys,USD/INR
DRREDDY.NS,DLF.NS,0.030084406921571577,Dr Reddy's,DLF
ICICIBANK.NS,ITC.NS,0.030030275471352584,ICICI Bank,ITC
GC=F,MARUTI.NS,0.03000809719808427,Gold,Maruti Suzuki
WIPRO.NS,ONGC.NS,0.030003543295627207,Wipro,ONGC
MARUTI.NS,HINDUNILVR.NS,0.029993529787840603,Maruti Suzuki,Hindustan Unilever
HCLTECH.NS,GODREJPROP.NS,0.029975594556144305,HCL Tech,Godrej Properties
HDFCBANK.NS,INR=X,0.02995352199502045,HDFC Bank,USD/INR
DRREDDY.NS,SBIN.NS,0.029877239307547834,Dr Reddy's,SBI
DRREDDY.NS,^NSEBANK,0.02980355732295516,Dr Reddy's,Bank Nifty
INR=X,WIPRO.NS,0.029781866342250995,USD/INR,Wipro
BAJAJFINSV.NS,DRREDDY.NS,0.029713356457875394,Bajaj Finserv,Dr Reddy's
SBIN.NS,CL=F,0.02968003882898323,SBI,Crude Oil
HINDUNILVR.NS,MARUTI.NS,0.029551015195460283,Hindustan Unilever,Maruti Suzuki
DRREDDY.NS,ONGC.NS,0.029543038324602727,Dr Reddy's,ONGC
ITC.NS,BAJFINANCE.NS,0.0295071992508951,ITC,Bajaj Finance
HCLTECH.NS,ITC.NS,0.02947021876567732,HCL Tech,ITC
DLF.NS,ONGC.NS,0.02945535903114287,DLF,ONGC
GC=F,HINDUNILVR.NS,0.0293983919140345,Gold,Hindustan Unilever
ICICIBANK.NS,CL=F,0.029338013948806793,ICICI Bank,Crude Oil
CL=F,SBIN.NS,0.02924141880052925,Crude Oil,SBI
TMPV.NS,MARUTI.NS,0.02919256390542429,Tata Motors Passenger Vehicles,Maruti Suzuki
AXISBANK.NS,TMPV.NS,0.029094849718725092,Axis Bank,Tata Motors Passenger Vehicles
RELIANCE.NS,TMPV.NS,0.029045646191793516,Reliance,Tata Motors Passenger Vehicles
RELIANCE.NS,INFY.NS,0.0289537079191227,Reliance,Infosys
INFY.NS,BAJFINANCE.NS,0.028940824775871805,Infosys,Bajaj Finance
TCS.NS,GC=F,0.028926403065145368,TCS,Gold
CL=F,ITC.NS,0.02888509755155365,Crude Oil,ITC
GC=F,BAJAJFINSV.NS,0.028852251378602957,Gold,Bajaj Finserv
AXISBANK.NS,DLF.NS,0.02875265757834307,Axis Bank,DLF
INR=X,^NSEBANK,0.028652120065835694,USD/INR,Bank Nifty
