source,target,ml_importance,source_name,target_name
HDFCBANK.NS,CL=F,0.01605140604237666,HDFC Bank,Crude Oil
HDFCBANK.NS,SBIN.NS,0.01563673029898411,HDFC Bank,SBI
INFY.NS,HINDUNILVR.NS,0.015595877703775074,Infosys,Hindustan Unilever
HCLTECH.NS,HDFCBANK.NS,0.015572741026044652,HCL Tech,HDFC Bank
WIPRO.NS,INR=X,0.015529547530091692,Wipro,USD/INR
HDFCBANK.NS,HINDUNILVR.NS,0.01540752018490288,HDFC Bank,Hindustan Unilever
HCLTECH.NS,AXISBANK.NS,0.015376582108744853,HCL Tech,Axis Bank
^NSEI,CL=F,0.0151116890738093,NIFTY 50,Crude Oil
BAJAJFINSV.NS,MARUTI.NS,0.01490463950495706,Bajaj Finserv,Maruti Suzuki
SBIN.NS,MARUTI.NS,0.014430046128879832,SBI,Maruti Suzuki
GC=F,ONGC.NS,0.013999938418308162,Gold,ONGC
HCLTECH.NS,INR=X,0.013805649452070114,HCL Tech,USD/INR
HCLTECH.NS,^NSEBANK,0.013317953566407772,HCL Tech,Bank Nifty
M&M.NS,SUNPHARMA.NS,0.012117818623780386,Mahindra & Mahindra,Sun Pharma
INFY.NS,^NSEBANK,0.009334850608322849,Infosys,Bank Nifty
