hop,source,target,raw_edge_effect,transmission_effect,incoming_shock,propagated_shock
1,^NSEBANK,^NSEI,0.8710093754026812,0.11443903584673829,-0.08,-0.005035317577256485
1,^NSEBANK,ICICIBANK.NS,0.8107654320760751,0.10652378374429676,-0.08,-0.004687046484749057
1,^NSEBANK,HDFCBANK.NS,0.7897290090838442,0.10375987782906815,-0.08,-0.004565434624478999
1,^NSEBANK,SBIN.NS,0.1159061658064732,0.015228527083824713,-0.08,-0.0006700551916882874
1,^NSEBANK,AXISBANK.NS,0.7499013589094095,0.09852705483689732,-0.08,-0.004335190412823482
1,^NSEBANK,DLF.NS,0.6121201119926072,0.08042443332650238,-0.08,-0.003538675066366105
1,^NSEBANK,BAJFINANCE.NS,0.5806579870600905,0.07629072897768036,-0.08,-0.003356792075017936
1,^NSEBANK,BAJAJFINSV.NS,0.5745560766334992,0.07548901918469512,-0.08,-0.0033215168441265855
1,^NSEBANK,GODREJPROP.NS,0.4991604001302331,0.06558303106366326,-0.08,-0.0028856533668011834
1,^NSEBANK,RELIANCE.NS,0.4919394606729866,0.06463429575411171,-0.08,-0.0028439090131809155
1,^NSEBANK,M&M.NS,0.4914602709114511,0.06457133659908264,-0.08,-0.0028411388103596366
1,^NSEBANK,TMPV.NS,0.46662919020636956,0.06130886318011589,-0.08,-0.0026975899799250996
1,^NSEBANK,MARUTI.NS,0.42767618872949487,0.0561909573822716,-0.08,-0.0024724021248199507
1,^NSEBANK,INR=X,-0.1296102035106274,-0.017029055191051707,-0.08,0.0007492784284062751
1,BAJFINANCE.NS,BAJAJFINSV.NS,0.7796695089681975,0.17002626287570916,-0.1,-0.009351444458164004
1,BAJFINANCE.NS,^NSEI,0.6273961007555183,0.13681927166219843,-0.1,-0.007525059941420915
1,BAJFINANCE.NS,^NSEBANK,0.5806579870600905,0.12662686742670365,-0.1,-0.006964477708468701
1,BAJFINANCE.NS,DLF.NS,0.4525926076553232,0.09869903696329564,-0.1,-0.005428447032981261
1,BAJFINANCE.NS,ICICIBANK.NS,0.4487210247528731,0.09785474234263229,-0.1,-0.005382010828844776
1,BAJFINANCE.NS,HDFCBANK.NS,0.43779330870808497,0.09547168298287728,-0.1,-0.005250942564058251
1,BAJFINANCE.NS,SBIN.NS,0.4352362745415217,0.09491405829910375,-0.1,-0.005220273206450707
1,BAJFINANCE.NS,AXISBANK.NS,0.41868805189598046,0.09130530815395561,-0.1,-0.005021791948467559
1,BAJFINANCE.NS,GODREJPROP.NS,0.40482794964299834,0.08828276929352434,-0.1,-0.00485555231114384
1,BAJAJFINSV.NS,BAJFINANCE.NS,0.7796695089681975,0.15241047243392727,-0.1,-0.008382575983866
1,BAJAJFINSV.NS,^NSEI,0.6364417700966231,0.12441218970519964,-0.1,-0.0068426704337859814
1,BAJAJFINSV.NS,^NSEBANK,0.5745560766334992,0.1123147206248734,-0.1,-0.006177309634368038
1,BAJAJFINSV.NS,DLF.NS,0.4750691518687857,0.09286693020857914,-0.1,-0.0051076811614718534
1,BAJAJFINSV.NS,ICICIBANK.NS,0.4495208552078728,0.0878727269991643,-0.1,-0.004832999984954038
1,BAJAJFINSV.NS,AXISBANK.NS,0.43738460289531816,0.08550032186178545,-0.1,-0.0047025177023982
1,BAJAJFINSV.NS,SBIN.NS,0.43170338790305524,0.08438975302331005,-0.1,-0.004641436416282054
1,BAJAJFINSV.NS,GODREJPROP.NS,0.4123183662171791,0.08060035215627318,-0.1,-0.004433019368595025
1,BAJAJFINSV.NS,HDFCBANK.NS,0.4064743926071697,0.07945796712191207,-0.1,-0.0043701881917051644
1,BAJAJFINSV.NS,M&M.NS,0.40386389198720524,0.07894766419458024,-0.1,-0.004342121530701914
1,BAJAJFINSV.NS,INR=X,-0.10858812874192732,-0.02122690167039523,-0.1,0.0011674795918717377
1,DLF.NS,GODREJPROP.NS,0.703059249476117,0.1118567025157869,-0.1,-0.00615211863836828
1,DLF.NS,^NSEI,0.6646746683758347,0.10574971697719009,-0.1,-0.005816234433745456
1,DLF.NS,^NSEBANK,0.6121201119926072,0.09738828885631944,-0.1,-0.00535635588709757
1,DLF.NS,SBIN.NS,0.5517564105983596,0.08778442603161518,-0.1,-0.004828143431738836
1,DLF.NS,TMPV.NS,0.5070862210885546,0.0806774004103104,-0.1,-0.004437257022567072
1,DLF.NS,BAJAJFINSV.NS,0.4750691518687857,0.07558348579385145,-0.1,-0.0041570917186618305
1,DLF.NS,ICICIBANK.NS,0.46117166256674597,0.07337239572180854,-0.1,-0.00403548176469947
1,DLF.NS,BAJFINANCE.NS,0.4525926076553232,0.07200746837918602,-0.1,-0.003960410760855231
1,DLF.NS,AXISBANK.NS,0.44863675293683075,0.07137809202893985,-0.1,-0.003925795061591693
1,DLF.NS,M&M.NS,0.4382926989894737,0.06973235340014158,-0.1,-0.0038352794370077876
1,DLF.NS,RELIANCE.NS,0.4302473357119399,0.06845233637819484,-0.1,-0.0037648785008007166
1,DLF.NS,HDFCBANK.NS,0.41176263820050274,0.06551142163712312,-0.1,-0.003603128190041772
1,DLF.NS,INR=X,-0.12888696595344631,-0.020505911869532614,-0.1,0.0011278251528242939
1,GODREJPROP.NS,DLF.NS,0.703059249476117,0.19582447200496886,-0.1,-0.010770345960273289
1,GODREJPROP.NS,^NSEI,0.5790139165822273,0.16127388208423743,-0.1,-0.00887006351463306
1,GODREJPROP.NS,^NSEBANK,0.4991604001302331,0.1390321254917398,-0.1,-0.00764676690204569
1,GODREJPROP.NS,SBIN.NS,0.43528416724515245,0.1212405530350684,-0.1,-0.006668230416928762
1,GODREJPROP.NS,TMPV.NS,0.4244688147240686,0.11822813168001615,-0.1,-0.006502547242400889
