Date,nifty_return,bank_return,oil_return,gold_return,fx_return,mean_market_return,market_dispersion,worst_asset_return,best_asset_return,negative_breadth,severe_loss_breadth,nifty_abs_move,nifty_vol_5d,nifty_vol_20d,bank_vol_20d,system_vol_20d,nifty_5d_return,bank_5d_return,isolation_score,pca_score,svm_score,ml_stress_score,stress_regime,iso_alert,pca_alert,svm_alert,model_agreement,downside_stress,ml_market_risk_score
2021-02-02,0.0256735714819573,0.0356264577456948,0.0225956881738897,-0.016283344815692,0.0029242317979023,0.027017268088820656,0.03346757587543862,-0.0252523916656149,0.1516452164147559,0.11538461538461539,0.038461538461538464,0.0256735714819573,0.0290743007562374,0.01586887364725381,0.02379642082622031,0.024263359398122193,0.028720561808218026,0.09838641065346465,99.56427015250546,98.54756717501816,96.44153957879448,98.32244008714598,CRITICAL,True,True,True,3,5.384615384615385,70.44109267638679
2021-02-03,0.0097011226717231,0.0143152221492668,0.0169832055091585,0.0009286813285305,-0.0027830881562711,0.008768159576928402,0.012904613016456573,-0.0154498352311019,0.0372671558377533,0.23076923076923078,0.0,0.0097011226717231,0.025498959649507796,0.015954237073851477,0.02374981042421268,0.024115223738949945,0.05888313551548241,0.14772877512574545,95.3522149600581,98.0392156862745,91.79375453885258,95.09077705156136,CRITICAL,True,True,False,2,8.076923076923077,68.98662085916988
2021-02-04,0.0071467580293813,0.0168692951047757,0.0096965510656048,-0.023632751834819,-0.0007994948356149,0.011761663412709785,0.024796334325908814,-0.034955687187719,0.0608996041429588,0.34615384615384615,0.07692307692307693,0.0071467580293813,0.022648957335206717,0.01592788260202016,0.023891387277526044,0.024431822235662884,0.07802400578804214,0.16425495820731162,97.96659404502542,97.53086419753086,88.45315904139433,94.98184458968771,HIGH,True,True,False,2,14.807692307692305,70.9295989050891
2021-02-05,0.0019199973566108,0.008762219606099,0.0110261237227835,0.0122980600926572,0.0012037097927419,0.0048229682775935085,0.02668020968059462,-0.0326656621613443,0.1070121407462971,0.38461538461538464,0.11538461538461539,0.0019199973566108,0.018501093213475078,0.01591000171709992,0.023901463148866025,0.02488310862540006,0.09458659788867174,0.16649492368822405,98.54756717501816,96.94989106753813,94.98910675381264,97.00072621641249,CRITICAL,True,True,False,2,17.5,73.15050835148874
2021-02-08,0.0128348027329681,0.0092316076150984,0.0197010162997959,0.0115964436009077,-0.0022058041411174,0.016691347333920192,0.018848674360390557,-0.0144962969020083,0.0726746344441819,0.19230769230769232,0.0,0.0128348027329681,0.008896978984819533,0.01583619730066375,0.023909924863227107,0.02446529152046464,0.05844043903599494,0.08747896720211656,94.91648511256355,73.27523602033406,82.35294117647058,84.65504720406682,ELEVATED,False,False,False,0,6.730769230769231,61.27776381207754
2021-02-09,-0.0004300136336804,0.0020245976125814,0.0067276070628949,0.0018560098088049,0.0019935956303789,-0.004267123885472488,0.012364186254433656,-0.035975799472269,0.0135475210740043,0.5,0.07692307692307693,0.0004300136336804,0.005464530141165789,0.015766250102051148,0.023843341251866292,0.023895246283387215,0.031502930984296906,0.05219470434814322,86.49237472766885,79.66594045025418,80.75526506899055,82.72331154684096,ELEVATED,False,False,False,0,35.192307692307686,68.46401039048096
2021-02-10,-0.0001853034041081,-0.0075824802875988,0.0054832023899509,0.0028877712727117,-0.0010284475432124,0.003661994754382685,0.01178106514609776,-0.0186742884824209,0.028798040150314,0.5,0.0,0.0001853034041081,0.005680958074517378,0.015756211160483778,0.024014446245346373,0.02363649460195374,0.021403033851177478,0.029479234799495657,75.88961510530137,61.94625998547567,70.66085693536675,70.13798111837328,ELEVATED,False,False,False,0,47.5,63.34658678286129
2021-02-11,0.0044219246475027,-0.0008663407408959,-0.0074982723998072,-0.0085298008150178,-0.0006533506289559,0.002593851652191954,0.011800829159119869,-0.011857692452019,0.0412298797652483,0.5769230769230769,0.0,0.0044219246475027,0.005460907583740992,0.015759135281120294,0.024048826621062634,0.023466281579697594,0.018639630145807384,0.01152366380627079,73.71096586782862,87.07334785766159,58.75090777051562,73.2316630355846,ELEVATED,False,False,False,0,35.192307692307686,61.819856432601526
2021-02-12,-0.0006590524229219,0.009979751829896,0.0211194970258921,-0.0018083449964251,-0.0013431837667785,-0.0007761595585086307,0.014593784114685263,-0.0397438196910981,0.0268769272855755,0.5,0.11538461538461539,0.0006590524229219,0.005784721795821649,0.01577180018830636,0.024021334331342244,0.023503969702832597,0.016017542234115778,0.012744528973384295,80.75526506899055,90.92229484386347,59.25925925925925,77.35657225853303,ELEVATED,False,False,False,0,36.53846153846153,65.11113904251158
2021-02-15,0.0099846598415338,0.033159410807559,0.0,0.0,-0.00157751480035,0.010881733174360697,0.018955347930324218,-0.0171432342995104,0.0581023472457653,0.3076923076923077,0.0,0.0099846598415338,0.00462086124554112,0.015551731024735095,0.024546304293887666,0.0232453090360299,0.013158443032787792,0.036755619778180426,89.39724037763254,97.60348583877996,82.86129266521424,89.89832970225127,HIGH,False,True,False,1,10.76923076923077,66.15960002234512
2021-02-16,-8.162092525865194e-05,-0.0055714544345202,0.0097527829906198,-0.013394831324706,0.0006047200957295,-0.00109148271429064,0.014940953948831368,-0.023866531343575,0.0538342691425908,0.6153846153846154,0.07692307692307693,8.162092525865194e-05,0.004565546029011479,0.01524149950577238,0.024250366529196692,0.022791598814359215,0.013511571897042662,0.028896282126466222,85.47567175018156,71.60493827160494,68.2643427741467,76.15105301379812,ELEVATED,False,False,False,0,54.23076923076924,69.57496787888945
